risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,East Asia,2014,95649.18933129194,22464.025308586235,164824.38213846844,6.473107031820761,1.5275665794741495,11.231929392101314,95.10521621382678,22.15689054998318,164.73335271794232,95649.18933129196,1.4551915228366852e-11,1522286.2008062066,point_estimate_sum_from_age_sex_only,1421303588.7823486
ozone,copd,East Asia,2015,100490.62502424332,24164.586464284133,175848.08465294717,6.480754886386208,1.5666960772139078,11.288441260346103,95.17096586485283,22.624703597723144,166.21737361013848,100490.62502424333,1.4551915228366852e-11,1590087.725921668,point_estimate_sum_from_age_sex_only,1430846550.0452101
ozone,copd,East Asia,2016,112727.77485198066,26614.820390387584,202711.57739913755,6.94273437654805,1.6477095332915896,12.399114660579459,101.63352588086053,23.682360422957835,180.5678632309958,112727.77485198072,5.820766091346741e-11,1769745.3161156815,point_estimate_sum_from_age_sex_only,1441245720.784612
ozone,copd,East Asia,2017,118069.41622409344,27655.415216006033,212389.44142433399,6.973730773498471,1.643447633427857,12.579716042833455,101.70993912376474,23.556541634888372,182.5211618699253,118069.41622409344,0.0,1839444.09817263,point_estimate_sum_from_age_sex_only,1451414990.2539907
ozone,copd,East Asia,2018,96674.1288042193,21500.74733812129,177369.98247644416,5.483012852636453,1.221893258584134,10.052279049045236,79.77531664435165,17.759924657915974,144.9768319851314,96674.12880421923,-7.275957614183426e-11,1496389.8301793383,point_estimate_sum_from_age_sex_only,1460420788.8980925
ozone,copd,East Asia,2019,93086.69471395458,20389.83815913851,171791.94630903308,5.031349512359294,1.1039199596511697,9.326673346287402,73.18529416740262,15.939042533012456,133.51947228978992,93086.69471395455,-2.9103830456733704e-11,1433296.1508836155,point_estimate_sum_from_age_sex_only,1468089083.2620583
ozone,copd,East Asia,2020,84998.6713046816,19105.980180096194,159689.36399884237,4.380137558143167,0.9883961360087332,8.239600037296078,63.43838967811619,14.278529238319134,118.49757799803659,84998.67130468166,5.820766091346741e-11,1295193.0249042553,point_estimate_sum_from_age_sex_only,1474094264.8371174
ozone,copd,East Asia,2021,87741.99555408338,19714.668966047604,167727.81680582184,4.31203060048457,0.9762617626358022,8.30358002936236,62.10915714103383,13.955742989395594,117.90590521059077,87741.99555408338,0.0,1322777.414609918,point_estimate_sum_from_age_sex_only,1478025007.6619737
ozone,copd,Global,1990,172676.15932937662,41877.97802787122,310867.84504154837,4.888647165236703,1.1858194353420601,8.763890199757554,91.67652690777778,22.268585897893214,166.47690268545125,172676.15932937668,5.820766091346741e-11,3498853.295558684,point_estimate_sum_from_age_sex_only,5336096932.229502
ozone,copd,Global,1991,176016.7744817852,42721.70914474486,316160.0268198627,4.863123110713521,1.1797063602788174,8.644991379163999,91.04415960631137,22.120638168632453,165.46995905108693,176016.77448178513,-5.820766091346741e-11,3555845.9289641175,point_estimate_sum_from_age_sex_only,5419132117.9059
ozone,copd,Global,1992,181374.64326529016,43561.433784838664,327143.19972761424,4.891559268056737,1.1759238744637606,8.756185872162431,91.3075208482361,21.9428532034933,164.32657356455698,181374.6432652902,2.9103830456733704e-11,3647848.128386415,point_estimate_sum_from_age_sex_only,5500052944.621854
ozone,copd,Global,1993,189825.42781096327,46154.37958357912,338920.76970653504,4.991652180082871,1.2144894315090808,8.896503220330567,93.01629203865785,22.61031238571859,165.28726889526507,189825.4278109633,2.9103830456733704e-11,3803171.250352369,point_estimate_sum_from_age_sex_only,5580094995.3990345
ozone,copd,Global,1994,199211.59731911437,48767.19735137845,351214.4873366237,5.123665316872511,1.2551650357808704,9.083926923764853,95.06686361158553,23.283110571773026,166.33367922844795,199211.59731911446,8.731149137020111e-11,3971332.6675515915,point_estimate_sum_from_age_sex_only,5657382425.923679
ozone,copd,Global,1995,210284.6623191655,50668.37842583078,375359.17146925465,5.277924869337431,1.2737868902937333,9.427885356811801,97.64153181790925,23.483951133493232,173.57472599339738,210284.66231916545,-5.820766091346741e-11,4172217.2601818107,point_estimate_sum_from_age_sex_only,5732260912.810987
